0	608	0	018	fade-in
609	760	4	019	zoom-in
761	1881	1	020
1882	2357	0	021
2358	3169	1	022
3170	3672	2	023
3673	4426	1	024
4427	4680	0	025
4681	5114	1	026
5115	5984	2	027
5985	6531	1	028
6532	6917	2	029
6918	8034	1	030
8035	8491	2	031
8492	9910	1	032
9911	10398	2	033
10399	11512	1	034
11513	12327	2	035
12328	13531	1	036
13532	13930	2	037
13931	14605	1	038
14606	15069	0	039
15070	15792	1	040
15793	16428	2	041
16429	16855	1	042
16856	17548	2	043
17549	17976	1	044
17977	18419	2	045
18420	18866	1	046
18867	19299	2	047
19300	20144	1	048
20145	20304	0	048b
20305	20736	1	048c
20737	21257	2	049
21258	21796	1	050
21797	22050	2	051
22051	22708	1	052
22709	23056	2	053
23057	23650	1	054
23651	24118	2	055
24119	24547	1	056
24548	24759	0	057
24760	25488	1	058
25489	26099	2	059
26100	26837	1	060
26838	27074	2	061
27075	27374	1	062
27375	28278	2	063
28279	29518	1	064
29519	29885	0	065
29886	31291	1	066
31292	31679	2	067
31680	32709	1	068
32710	33075	2	069
33076	33769	1	070
33770	34140	0	071
34141	34486	1	072
34487	34855	2	073
34856	35538	1	074	인사
35539	36211	0	075	fade-out
