0	62	0	018	fade-in
63	178	1	019	인사
179	334	1	020
335	1661	2	021
1662	2681	1	022
2682	4099	2	023
4100	5504	1	024
5505	7293	2	025
7294	8217	1	026
8218	9775	2	027
9776	10497	1	028
10498	11033	0	029
11034	11483	1	030
11484	12699	2	031
12700	13176	1	032
13177	14396	2	033
14397	14852	1	034
14853	15436	0	035
15437	16155	1	036
16156	17093	2	037
17094	19910	1	038
19911	21131	2	039
21132	22461	1	040
22462	22852	0	041
22853	24621	2	042
24622	26243	1	043
26244	27738	2	044
27739	28143	1	045
28144	28512	0	046
28513	29324	1	047
29325	30194	2	048
30195	30740	1	049
30741	32002	2	050
32003	32471	0	051
32472	33291	2	052
33292	33776	1	053
33777	33874	0	064	fade-out
